,Year,eFG%
0,2010,0.536
1,2010,0.532
2,2010,0.524
3,2010,0.515
4,2010,0.496
5,2010,0.546
6,2010,0.506
7,2010,0.509
8,2010,0.494
9,2010,0.522
10,2010,0.499
11,2010,0.506
12,2010,0.496
13,2010,0.48200000000000004
14,2010,0.49
15,2010,0.494
16,2010,0.494
17,2010,0.47700000000000004
18,2010,0.521
19,2010,0.506
20,2010,0.491
21,2010,0.514
22,2010,0.496
23,2010,0.509
24,2010,0.491
25,2010,0.48100000000000004
26,2010,0.474
27,2010,0.491
28,2010,0.45799999999999996
29,2010,0.478
30,2010,0.501
31,2011,0.524
32,2011,0.501
33,2011,0.502
34,2011,0.527
35,2011,0.521
36,2011,0.519
37,2011,0.526
38,2011,0.525
39,2011,0.501
40,2011,0.493
41,2011,0.503
42,2011,0.486
43,2011,0.493
44,2011,0.494
45,2011,0.513
46,2011,0.522
47,2011,0.467
48,2011,0.501
49,2011,0.486
50,2011,0.498
51,2011,0.51
52,2011,0.496
53,2011,0.495
54,2011,0.48200000000000004
55,2011,0.48
56,2011,0.483
57,2011,0.474
58,2011,0.491
59,2011,0.47100000000000003
60,2011,0.47200000000000003
61,2011,0.498
62,2012,0.49
63,2012,0.528
64,2012,0.516
65,2012,0.505
66,2012,0.48
67,2012,0.516
68,2012,0.502
69,2012,0.5
70,2012,0.474
71,2012,0.473
72,2012,0.49200000000000005
73,2012,0.496
74,2012,0.491
75,2012,0.489
76,2012,0.48100000000000004
77,2012,0.49200000000000005
78,2012,0.506
79,2012,0.499
80,2012,0.488
81,2012,0.48100000000000004
82,2012,0.47700000000000004
83,2012,0.505
84,2012,0.47600000000000003
85,2012,0.475
86,2012,0.47200000000000003
87,2012,0.47200000000000003
88,2012,0.46799999999999997
89,2012,0.473
90,2012,0.46299999999999997
91,2012,0.439
92,2012,0.48700000000000004
93,2013,0.527
94,2013,0.552
95,2013,0.531
96,2013,0.526
97,2013,0.515
98,2013,0.47200000000000003
99,2013,0.515
100,2013,0.525
101,2013,0.479
102,2013,0.512
103,2013,0.506
104,2013,0.498
105,2013,0.49200000000000005
106,2013,0.47
107,2013,0.517
108,2013,0.506
109,2013,0.503
110,2013,0.47600000000000003
111,2013,0.473
112,2013,0.488
113,2013,0.498
114,2013,0.475
115,2013,0.489
116,2013,0.48100000000000004
117,2013,0.491
118,2013,0.48700000000000004
119,2013,0.473
120,2013,0.47700000000000004
121,2013,0.485
122,2013,0.46
123,2013,0.496
124,2014,0.537
125,2014,0.526
126,2014,0.52
127,2014,0.517
128,2014,0.531
129,2014,0.504
130,2014,0.5539999999999999
131,2014,0.49
132,2014,0.486
133,2014,0.519
134,2014,0.526
135,2014,0.498
136,2014,0.494
137,2014,0.47100000000000003
138,2014,0.506
139,2014,0.515
140,2014,0.48100000000000004
141,2014,0.49700000000000005
142,2014,0.505
143,2014,0.514
144,2014,0.495
145,2014,0.484
146,2014,0.479
147,2014,0.48200000000000004
148,2014,0.47700000000000004
149,2014,0.505
150,2014,0.48700000000000004
151,2014,0.484
152,2014,0.479
153,2014,0.475
154,2014,0.501
155,2015,0.54
156,2015,0.5329999999999999
157,2015,0.517
158,2015,0.527
159,2015,0.508
160,2015,0.52
161,2015,0.512
162,2015,0.489
163,2015,0.515
164,2015,0.489
165,2015,0.49200000000000005
166,2015,0.508
167,2015,0.501
168,2015,0.494
169,2015,0.499
170,2015,0.499
171,2015,0.484
172,2015,0.501
173,2015,0.489
174,2015,0.48200000000000004
175,2015,0.5
176,2015,0.479
177,2015,0.49
178,2015,0.491
179,2015,0.456
180,2015,0.494
181,2015,0.473
182,2015,0.46799999999999997
183,2015,0.45899999999999996
184,2015,0.47
185,2015,0.496
186,2016,0.563
187,2016,0.526
188,2016,0.524
189,2016,0.524
190,2016,0.524
191,2016,0.504
192,2016,0.516
193,2016,0.488
194,2016,0.502
195,2016,0.501
196,2016,0.49700000000000005
197,2016,0.508
198,2016,0.511
199,2016,0.491
200,2016,0.516
201,2016,0.502
202,2016,0.511
203,2016,0.48700000000000004
204,2016,0.5
205,2016,0.47700000000000004
206,2016,0.51
207,2016,0.483
208,2016,0.489
209,2016,0.498
210,2016,0.498
211,2016,0.499
212,2016,0.48700000000000004
213,2016,0.49200000000000005
214,2016,0.46
215,2016,0.48700000000000004
216,2016,0.502
217,2017,0.563
218,2017,0.524
219,2017,0.545
220,2017,0.537
221,2017,0.526
222,2017,0.517
223,2017,0.547
224,2017,0.525
225,2017,0.528
226,2017,0.5
227,2017,0.491
228,2017,0.512
229,2017,0.53
230,2017,0.48700000000000004
231,2017,0.501
232,2017,0.52
233,2017,0.527
234,2017,0.516
235,2017,0.511
236,2017,0.504
237,2017,0.49200000000000005
238,2017,0.504
239,2017,0.505
240,2017,0.516
241,2017,0.496
242,2017,0.493
243,2017,0.501
244,2017,0.501
245,2017,0.489
246,2017,0.507
247,2017,0.514
248,2018,0.551
249,2018,0.539
250,2018,0.569
251,2018,0.527
252,2018,0.535
253,2018,0.514
254,2018,0.518
255,2018,0.507
256,2018,0.511
257,2018,0.523
258,2018,0.536
259,2018,0.541
260,2018,0.525
261,2018,0.547
262,2018,0.525
263,2018,0.527
264,2018,0.52
265,2018,0.508
266,2018,0.512
267,2018,0.531
268,2018,0.517
269,2018,0.513
270,2018,0.51
271,2018,0.514
272,2018,0.512
273,2018,0.512
274,2018,0.5
275,2018,0.502
276,2018,0.49700000000000005
277,2018,0.495
278,2018,0.521
279,2019,0.55
280,2019,0.565
281,2019,0.5429999999999999
282,2019,0.5379999999999999
283,2019,0.542
284,2019,0.528
285,2019,0.527
286,2019,0.534
287,2019,0.514
288,2019,0.53
289,2019,0.532
290,2019,0.534
291,2019,0.529
292,2019,0.518
293,2019,0.52
294,2019,0.515
295,2019,0.509
296,2019,0.524
297,2019,0.519
298,2019,0.511
299,2019,0.529
300,2019,0.514
301,2019,0.527
302,2019,0.508
303,2019,0.531
304,2019,0.522
305,2019,0.505
306,2019,0.514
307,2019,0.49
308,2019,0.503
309,2019,0.524
310,2020,0.552
311,2020,0.535
312,2020,0.542
313,2020,0.536
314,2020,0.531
315,2020,0.545
316,2020,0.537
317,2020,0.547
318,2020,0.5489999999999999
319,2020,0.535
320,2020,0.53
321,2020,0.534
322,2020,0.534
323,2020,0.532
324,2020,0.539
325,2020,0.5329999999999999
326,2020,0.531
327,2020,0.528
328,2020,0.506
329,2020,0.52
330,2020,0.534
331,2020,0.515
332,2020,0.514
333,2020,0.529
334,2020,0.523
335,2020,0.501
336,2020,0.504
337,2020,0.515
338,2020,0.522
339,2020,0.49700000000000005
340,2020,0.529
