,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,Unnamed: 18_level_1,Dunks,Dunks,Layups,Layups,Unnamed: 23_level_1,Corner,Corner,Heaves,Heaves
,Rk,Team,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
0,1.0,Atlanta Hawks*,82,19855,0.464,13.4,0.714,0.281,0.152,0.073,0.208,0.286,0.501,0.678,0.382,0.387,0.389,0.371,0.585,0.052,323,0.222,924,0.874,0.264,0.426,12.0,0.0
1,2.0,Boston Celtics*,81,19840,0.465,12.9,0.785,0.287,0.13,0.128,0.239,0.215,0.494,0.623,0.357,0.446,0.439,0.358,0.555,0.043,258,0.237,880,0.914,0.339,0.399,22.0,0.0
2,3.0,Brooklyn Nets*,82,19855,0.45,12.6,0.731,0.272,0.203,0.102,0.154,0.269,0.484,0.623,0.405,0.397,0.4,0.357,0.484,0.041,249,0.231,873,0.871,0.349,0.395,12.0,0.0
3,4.0,Charlotte Bobcats,82,19805,0.425,12.2,0.79,0.319,0.147,0.111,0.212,0.21,0.448,0.577,0.323,0.373,0.38,0.335,0.507,0.051,298,0.26,904,0.838,0.208,0.402,15.0,0.0
4,5.0,Chicago Bulls*,82,19830,0.437,12.2,0.811,0.306,0.139,0.14,0.226,0.189,0.456,0.615,0.333,0.376,0.367,0.353,0.61,0.039,240,0.247,967,0.839,0.229,0.359,11.0,0.0
5,6.0,Cleveland Cavaliers,82,19730,0.434,12.4,0.771,0.294,0.174,0.116,0.188,0.229,0.46,0.584,0.352,0.385,0.411,0.346,0.509,0.057,338,0.222,804,0.821,0.211,0.338,12.0,1.0
6,7.0,Dallas Mavericks,82,19980,0.462,13.0,0.764,0.242,0.179,0.16,0.182,0.236,0.489,0.627,0.432,0.412,0.431,0.372,0.538,0.031,196,0.198,813,0.86,0.232,0.363,18.0,0.0
7,8.0,Denver Nuggets*,82,19905,0.478,10.4,0.783,0.415,0.172,0.08,0.115,0.217,0.516,0.655,0.368,0.347,0.352,0.343,0.551,0.1,642,0.3,1200,0.862,0.345,0.351,21.0,0.0
8,9.0,Detroit Pistons,82,19805,0.449,11.1,0.783,0.37,0.172,0.072,0.169,0.217,0.474,0.609,0.347,0.34,0.366,0.356,0.514,0.054,320,0.301,1125,0.926,0.267,0.356,16.0,0.0
9,10.0,Golden State Warriors*,82,19805,0.458,13.5,0.761,0.242,0.173,0.118,0.229,0.239,0.475,0.65,0.361,0.391,0.418,0.403,0.542,0.045,284,0.188,767,0.769,0.226,0.461,21.0,1.0
10,11.0,Houston Rockets*,82,19780,0.461,12.8,0.651,0.341,0.156,0.048,0.106,0.349,0.511,0.653,0.35,0.338,0.372,0.366,0.52,0.066,415,0.28,1091,0.841,0.29,0.392,11.0,2.0
11,12.0,Indiana Pacers*,81,19590,0.436,12.7,0.755,0.271,0.19,0.116,0.178,0.245,0.465,0.612,0.399,0.375,0.371,0.347,0.513,0.048,283,0.203,742,0.847,0.251,0.364,23.0,0.0
12,13.0,Los Angeles Clippers*,82,19730,0.478,13.0,0.735,0.281,0.17,0.089,0.195,0.265,0.522,0.677,0.46,0.432,0.392,0.358,0.556,0.092,557,0.194,760,0.877,0.334,0.381,9.0,0.0
