,0,1
Atlanta Hawks,24,58
Boston Celtics,55,27
Brooklyn Nets,28,54
Charlotte Hornets,36,46
Chicago Bulls,27,55
Cleveland Cavaliers,50,32
Dallas Mavericks,24,58
Denver Nuggets,46,36
Detroit Pistons,39,43
Golden State Warriors,58,24
Houston Rockets,65,17
Indiana Pacers,48,34
Los Angeles Clippers,42,40
Los Angeles Lakers,35,47
Memphis Grizzlies,22,60
Miami Heat,44,38
Milwaukee Bucks,44,38
Minnesota Timberwolves,47,35
New Orleans Pelicans,48,34
New York Knicks,29,53
Oklahoma City Thunder,48,34
Orlando Magic,25,57
Philadelphia 76ers,52,30
Phoenix Suns,21,61
Portland Trail Blazers,49,33
Sacramento Kings,27,55
San Antonio Spurs,47,35
Toronto Raptors,59,23
Utah Jazz,48,34
Washington Wizards,43,39
